Date update,Child sObject,Child field,Child value,Parent sObject,Parent field,Parent value,Error
2022-02-22  17:59:20.885,Interview__c,,,,,,CSV FILE DOES NOT EXIST
2022-02-22  17:59:20.897,InterviewEventCandidate__c,Candidate__r.Name,,Account,Id,,ID COLUMN FOR THE PARENT LOOKUP OBJECT WAS DYNAMICALLY ADDED INTO THE CSV FILE. CAN'T UPDATE THE CHILD LOOKUP ID COLUMN BECAUSE THE NECESSARY REFERENCE EXTERNAL ID COLUMN WAS NOT FOUND.
2022-02-22  17:59:20.901,InterviewEventCandidate__c,Candidate__c,0010t00001bZZEnAAO,Account,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.901,InterviewEventCandidate__c,Candidate__c,0010t00001bZZ7SAAW,Account,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.901,InterviewEventCandidate__c,Candidate__c,0010t00001bZZHPAA4,Account,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.901,InterviewEventCandidate__c,Candidate__c,0010t00001bZZLUAA4,Account,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.901,InterviewEventCandidate__c,Candidate__c,0010t00001bZZLKAA4,Account,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqSEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqSEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqSEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqTEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqTEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqTEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqUEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqUEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqVEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HhqVEAS,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpaEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpaEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpbEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpbEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpcEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpcEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpcEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpfEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpfEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpfEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpfEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpgEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpgEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpgEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDpgEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDphEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDphEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDphEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDphEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDphEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
2022-02-22  17:59:20.908,FeedbackItem__c,Interview__c,a0D0t000006HDphEAG,Interview__c,Id,,MISSING PARENT LOOKUP RECORD
