Date update,Child Id,Child Lookup Id Field,Child Lookup Reference Field,Child SObject,Parent SObject,Parent ExternalId Field,Missing expected parent ExternalID value
2022-02-22  17:59:50.217,a060t000005O8aNAAS,User__c,User__r.Name,HiringPanelMember__c,User,Name,Sajesh Radhakrishnan
2022-02-22  17:59:50.218,a090t00000GKGeMAAX,Candidate__c,Candidate__r.Name,InterviewEventCandidate__c,Account,Name,ID0000000000000001
2022-02-22  17:59:50.218,a090t00000GKGfjAAH,Candidate__c,Candidate__r.Name,InterviewEventCandidate__c,Account,Name,ID0000000000000002
2022-02-22  17:59:50.218,a090t00000GKGfPAAX,Candidate__c,Candidate__r.Name,InterviewEventCandidate__c,Account,Name,ID0000000000000003
2022-02-22  17:59:50.218,a090t00000GKGeNAAX,Candidate__c,Candidate__r.Name,InterviewEventCandidate__c,Account,Name,ID0000000000000004
2022-02-22  17:59:50.218,a090t00000GKGeOAAX,Candidate__c,Candidate__r.Name,InterviewEventCandidate__c,Account,Name,ID0000000000000005
2022-02-22  17:59:52.560,a040t000004ynPRAAY,Questionaire__c,Questionaire__r.Name,FeedbackItem__c,Questionaire__c,Name,LLD + Coding
2022-02-22  17:59:52.560,a040t000004ynoUAAQ,Interview__c,Interview__r.Name,FeedbackItem__c,Interview__c,Name,a0D0t000006HhqSEAS
2022-02-22  17:59:52.560,a040t000004ynoVAAQ,Interview__c,Interview__r.Name,FeedbackItem__c,Interview__c,Name,a0D0t000006HhqSEAS
2022-02-22  17:59:52.560,a040t000004ynoWAAQ,Interview__c,Interview__r.Name,FeedbackItem__c,Interview__c,Name,a0D0t000006HhqSEAS
2022-02-22  17:59:52.560,a040t000004ynoXAAQ,Interview__c,Interview__r.Name,FeedbackItem__c,Interview__c,Name,a0D0t000006HhqTEAS
2022-02-22  17:59:52.560,a040t000004ynoXAAQ,Questionaire__c,Questionaire__r.Name,FeedbackItem__c,Questionaire__c,Name,HM Discussion
2022-02-22  17:59:52.560,a040t000004ynoYAAQ,Interview__c,Interview__r.Name,FeedbackItem__c,Interview__c,Name,a0D0t000006HhqTEAS
2022-02-22  17:59:52.560,a040t000004ynoYAAQ,Questionaire__c,Questionaire__r.Name,FeedbackItem__c,Questionaire__c,Name,HM Discussion
2022-02-22  17:59:52.560,a040t000004ynoZAAQ,Interview__c,Interview__r.Name,FeedbackItem__c,Interview__c,Name,a0D0t000006HhqTEAS
